Game Name;Release Name;Package Name;Version Code;Last Updated;Size (MB)
Blueplanet VR Explore ;Blueplanet VR Explore v7+7 -QU;com.blueplanetvr.blueplanetvr_explore_alpha;7;2021-06-05 13:56 UTC;17287
Jigsaw 360 ;Jigsaw 360 v74+4.1.3 -FFA;com.JumbliVR.Jigsaw360;74;2022-04-02 13:41 UTC;393
Figmin XRvr78.cn ;Figmin XRvr78.cn v147+1.34.0.0 -FFA;com.overlay.figmin.prod;147;2022-11-12 07:16 UTC;186
Crazy Kung Fu ;Crazy Kung Fu v90+0.93.14 -FFA;com.fieldofvision.crazykungfu;90;2022-10-18 04:31 UTC;391
Wraith The Oblivion - Afterlife ;Wraith The Oblivion - Afterlife v108+1.0 -FFA;com.fasttravelgames.jukebox;108;2021-11-03 03:46 UTC;3469
Eleven Table Tennis ;Eleven Table Tennis v89422263+2022.10.31.23.31.3.253 -FFA;quest.eleven.forfunlabs;89422263;2022-11-01 05:31 UTC;671
VR Practical Shooting ;VR Practical Shooting v112+0.1.220926 -FFA;com.blobworks.VRPracticalShooting;112;2022-09-29 19:42 UTC;303
Polysketch ;Polysketch v24+0.24 -FFA;com.PolysketchLLC.Polysketch;24;2022-10-26 21:31 UTC;91
Laid-Back Camp - Virtual - Lake Motosu ;Laid-Back Camp - Virtual - Lake Motosu v5+1.2.0 -VRP;jp.co.gemdrops.lbcb_q;5;2021-09-08 22:13 UTC;150
Crisis VRigade 2 ;Crisis VRigade 2 v76+1.5 -FFA;com.sumalab.CrisisVRigade2;76;2022-05-27 04:01 UTC;3144
Neon Blast VR ;Neon Blast VR v31+1.0 -QU;com.Raptorsgames.NeonBlast;31;2021-06-10 22:33 UTC;74
TOKYO CHRONOS ;TOKYO CHRONOS v31+1.0.4 -QU;com.MyDearest.ChronosQuest;31;2021-06-05 11:27 UTC;676
Hermetika VR ;Hermetika VR v9+0.9 -VRP;am.benth.hermetikavr;9;2021-09-04 14:28 UTC;42
Human Anatomy Puzzle ;Human Anatomy Puzzle v12+0.9.3 -QU;com.mgdigital.AnatomyPuzzle;12;2021-06-05 08:36 UTC;110
AFFECTED The Manor (Re-Visited) ;AFFECTED The Manor (Re-Visited) v85+1.3 -FFA;com.fallen.manorquest;85;2021-10-26 12:51 UTC;1218
